in:0 out:0 type:1 q:460 itex:62742 ptex:0 mv:0 misc:1623 fcode:1 bcode:1 mc-var:0 var:160939 icount:256 skipcount:0 hbits:107;
in:1 out:1 type:2 q:236 itex:0 ptex:25745 mv:313 misc:1383 fcode:1 bcode:1 mc-var:808 var:160939 icount:0 skipcount:114 hbits:55;
in:2 out:2 type:2 q:236 itex:4245 ptex:65517 mv:806 misc:1593 fcode:1 bcode:1 mc-var:9024 var:159946 icount:12 skipcount:113 hbits:55;
in:3 out:3 type:2 q:236 itex:0 ptex:11 mv:14 misc:272 fcode:1 bcode:1 mc-var:276 var:159946 icount:0 skipcount:252 hbits:55;
in:4 out:4 type:2 q:236 itex:4979 ptex:64143 mv:834 misc:1573 fcode:1 bcode:1 mc-var:9020 var:159650 icount:10 skipcount:116 hbits:55;
in:5 out:5 type:2 q:236 itex:0 ptex:117 mv:32 misc:316 fcode:1 bcode:1 mc-var:287 var:159650 icount:0 skipcount:247 hbits:55;
in:6 out:6 type:2 q:236 itex:6072 ptex:61880 mv:810 misc:1575 fcode:1 bcode:1 mc-var:9659 var:159472 icount:12 skipcount:117 hbits:55;
in:7 out:7 type:2 q:236 itex:0 ptex:121 mv:26 misc:294 fcode:1 bcode:1 mc-var:283 var:159472 icount:0 skipcount:248 hbits:55;
in:8 out:8 type:2 q:282 itex:7746 ptex:56304 mv:808 misc:1535 fcode:1 bcode:1 mc-var:11942 var:158022 icount:15 skipcount:117 hbits:55;
in:9 out:9 type:2 q:265 itex:0 ptex:237 mv:48 misc:364 fcode:1 bcode:1 mc-var:336 var:158022 icount:0 skipcount:237 hbits:55;
in:10 out:10 type:2 q:332 itex:1012 ptex:40451 mv:912 misc:1442 fcode:1 bcode:1 mc-var:10731 var:151952 icount:2 skipcount:119 hbits:55;
in:11 out:11 type:2 q:308 itex:0 ptex:158 mv:40 misc:355 fcode:1 bcode:1 mc-var:561 var:151952 icount:0 skipcount:239 hbits:55;
in:12 out:12 type:2 q:356 itex:1547 ptex:38993 mv:817 misc:1428 fcode:1 bcode:1 mc-var:11269 var:140821 icount:5 skipcount:121 hbits:55;
in:13 out:13 type:2 q:330 itex:0 ptex:412 mv:68 misc:417 fcode:1 bcode:1 mc-var:610 var:140821 icount:0 skipcount:227 hbits:55;
in:14 out:14 type:2 q:385 itex:2588 ptex:36859 mv:942 misc:1404 fcode:1 bcode:1 mc-var:12034 var:139119 icount:5 skipcount:119 hbits:55;
in:15 out:15 type:2 q:356 itex:0 ptex:353 mv:62 misc:402 fcode:1 bcode:1 mc-var:654 var:139119 icount:0 skipcount:231 hbits:55;
in:16 out:16 type:2 q:435 itex:3241 ptex:29048 mv:982 misc:1338 fcode:1 bcode:1 mc-var:18244 var:149006 icount:8 skipcount:122 hbits:55;
in:17 out:17 type:2 q:383 itex:0 ptex:1910 mv:200 misc:691 fcode:1 bcode:1 mc-var:868 var:149006 icount:0 skipcount:181 hbits:55;
in:18 out:18 type:2 q:447 itex:1240 ptex:30642 mv:1013 misc:1322 fcode:1 bcode:1 mc-var:12047 var:153831 icount:3 skipcount:122 hbits:55;
in:19 out:19 type:2 q:412 itex:0 ptex:871 mv:135 misc:491 fcode:1 bcode:1 mc-var:871 var:153831 icount:0 skipcount:213 hbits:55;
in:20 out:20 type:2 q:476 itex:2577 ptex:27839 mv:970 misc:1303 fcode:1 bcode:1 mc-var:13700 var:156334 icount:6 skipcount:127 hbits:55;
in:21 out:21 type:2 q:431 itex:0 ptex:1353 mv:132 misc:548 fcode:1 bcode:1 mc-var:930 var:156334 icount:0 skipcount:204 hbits:55;
in:22 out:22 type:2 q:505 itex:1878 ptex:27147 mv:880 misc:1256 fcode:1 bcode:1 mc-var:14627 var:151977 icount:4 skipcount:129 hbits:55;
in:23 out:23 type:2 q:452 itex:0 ptex:960 mv:98 misc:503 fcode:1 bcode:1 mc-var:966 var:151977 icount:0 skipcount:214 hbits:55;
in:24 out:24 type:2 q:535 itex:1454 ptex:19865 mv:806 misc:1180 fcode:1 bcode:1 mc-var:19216 var:143441 icount:4 skipcount:129 hbits:55;
in:25 out:25 type:2 q:460 itex:0 ptex:4723 mv:235 misc:946 fcode:1 bcode:1 mc-var:1364 var:143441 icount:0 skipcount:153 hbits:56;
in:26 out:26 type:2 q:600 itex:1829 ptex:15969 mv:860 misc:1135 fcode:1 bcode:1 mc-var:20792 var:138578 icount:5 skipcount:130 hbits:55;
in:27 out:27 type:2 q:510 itex:0 ptex:4989 mv:230 misc:838 fcode:1 bcode:1 mc-var:1559 var:138578 icount:0 skipcount:166 hbits:55;
in:28 out:28 type:2 q:608 itex:299 ptex:15673 mv:807 misc:1134 fcode:1 bcode:1 mc-var:12904 var:134584 icount:1 skipcount:132 hbits:55;
in:29 out:29 type:2 q:530 itex:0 ptex:4147 mv:229 misc:825 fcode:1 bcode:1 mc-var:1544 var:134584 icount:0 skipcount:166 hbits:55;
in:30 out:30 type:2 q:656 itex:2191 ptex:9871 mv:735 misc:1068 fcode:1 bcode:1 mc-var:18166 var:121973 icount:8 skipcount:136 hbits:55;
in:31 out:31 type:2 q:543 itex:0 ptex:4358 mv:277 misc:854 fcode:1 bcode:1 mc-var:1787 var:121973 icount:0 skipcount:159 hbits:55;
in:32 out:32 type:2 q:664 itex:3205 ptex:10211 mv:666 misc:1095 fcode:1 bcode:1 mc-var:27869 var:116443 icount:11 skipcount:137 hbits:55;
in:33 out:33 type:2 q:548 itex:0 ptex:4358 mv:258 misc:905 fcode:1 bcode:1 mc-var:1797 var:116443 icount:0 skipcount:159 hbits:55;
in:34 out:34 type:2 q:644 itex:1461 ptex:13773 mv:755 misc:1132 fcode:1 bcode:1 mc-var:16019 var:122019 icount:5 skipcount:137 hbits:55;
in:35 out:35 type:2 q:550 itex:0 ptex:2231 mv:196 misc:718 fcode:1 bcode:1 mc-var:1571 var:122019 icount:0 skipcount:179 hbits:55;
in:36 out:36 type:2 q:614 itex:1450 ptex:14372 mv:772 misc:1119 fcode:1 bcode:1 mc-var:14868 var:129940 icount:6 skipcount:136 hbits:55;
in:37 out:37 type:2 q:529 itex:0 ptex:4032 mv:240 misc:841 fcode:1 bcode:1 mc-var:1487 var:129940 icount:0 skipcount:164 hbits:55;
in:38 out:38 type:2 q:644 itex:875 ptex:13637 mv:695 misc:1114 fcode:1 bcode:1 mc-var:14562 var:133026 icount:4 skipcount:135 hbits:55;
in:39 out:39 type:2 q:557 itex:0 ptex:1764 mv:201 misc:660 fcode:1 bcode:1 mc-var:1616 var:133026 icount:0 skipcount:185 hbits:55;
in:40 out:40 type:2 q:633 itex:680 ptex:16164 mv:744 misc:1141 fcode:1 bcode:1 mc-var:18848 var:134143 icount:3 skipcount:134 hbits:55;
in:41 out:41 type:2 q:542 itex:0 ptex:2368 mv:160 misc:689 fcode:1 bcode:1 mc-var:1609 var:134143 icount:0 skipcount:187 hbits:55;
in:42 out:42 type:2 q:661 itex:3429 ptex:11342 mv:742 misc:1112 fcode:1 bcode:1 mc-var:25968 var:138556 icount:10 skipcount:135 hbits:55;
in:43 out:43 type:2 q:548 itex:0 ptex:3951 mv:234 misc:872 fcode:1 bcode:1 mc-var:1825 var:138556 icount:0 skipcount:160 hbits:55;
in:44 out:44 type:2 q:668 itex:1188 ptex:13487 mv:788 misc:1122 fcode:1 bcode:1 mc-var:21664 var:138900 icount:4 skipcount:134 hbits:55;
in:45 out:45 type:2 q:569 itex:0 ptex:3329 mv:222 misc:818 fcode:1 bcode:1 mc-var:1911 var:138900 icount:0 skipcount:169 hbits:55;
in:46 out:46 type:2 q:643 itex:849 ptex:17260 mv:832 misc:1156 fcode:1 bcode:1 mc-var:13685 var:142653 icount:6 skipcount:137 hbits:55;
in:47 out:47 type:2 q:578 itex:0 ptex:1154 mv:134 misc:561 fcode:1 bcode:1 mc-var:1605 var:142653 icount:0 skipcount:204 hbits:55;
in:48 out:48 type:2 q:623 itex:927 ptex:18426 mv:768 misc:1192 fcode:1 bcode:1 mc-var:14136 var:146383 icount:4 skipcount:137 hbits:55;
in:49 out:49 type:2 q:566 itex:31 ptex:1507 mv:140 misc:587 fcode:1 bcode:1 mc-var:1644 var:146383 icount:1 skipcount:200 hbits:55;
in:50 out:50 type:2 q:626 itex:763 ptex:18176 mv:841 misc:1164 fcode:1 bcode:1 mc-var:14414 var:153644 icount:4 skipcount:135 hbits:56;
in:51 out:51 type:2 q:569 itex:0 ptex:889 mv:134 misc:530 fcode:1 bcode:1 mc-var:1672 var:153644 icount:0 skipcount:205 hbits:55;
in:52 out:52 type:2 q:600 itex:1704 ptex:17842 mv:822 misc:1209 fcode:1 bcode:1 mc-var:12982 var:156158 icount:7 skipcount:133 hbits:55;
in:53 out:53 type:2 q:552 itex:0 ptex:969 mv:148 misc:548 fcode:1 bcode:1 mc-var:1544 var:156158 icount:0 skipcount:203 hbits:55;
in:54 out:54 type:2 q:601 itex:1179 ptex:17757 mv:779 misc:1198 fcode:1 bcode:1 mc-var:13842 var:162374 icount:6 skipcount:136 hbits:55;
in:55 out:55 type:2 q:549 itex:0 ptex:862 mv:106 misc:481 fcode:1 bcode:1 mc-var:1594 var:162374 icount:0 skipcount:215 hbits:55;
in:56 out:56 type:2 q:619 itex:826 ptex:17468 mv:791 misc:1132 fcode:1 bcode:1 mc-var:19929 var:165185 icount:4 skipcount:136 hbits:55;
in:57 out:57 type:2 q:542 itex:0 ptex:2079 mv:176 misc:642 fcode:1 bcode:1 mc-var:1649 var:165185 icount:0 skipcount:187 hbits:55;
in:58 out:58 type:2 q:644 itex:957 ptex:16455 mv:733 misc:1144 fcode:1 bcode:1 mc-var:21203 var:170591 icount:3 skipcount:134 hbits:55;
in:59 out:59 type:2 q:560 itex:0 ptex:2071 mv:189 misc:653 fcode:1 bcode:1 mc-var:1753 var:170591 icount:0 skipcount:189 hbits:55;
in:60 out:60 type:2 q:598 itex:0 ptex:19040 mv:760 misc:1161 fcode:1 bcode:1 mc-var:10737 var:170591 icount:0 skipcount:131 hbits:55;
in:61 out:61 type:2 q:562 itex:0 ptex:503 mv:167 misc:483 fcode:1 bcode:1 mc-var:1541 var:170591 icount:0 skipcount:209 hbits:55;
in:62 out:62 type:2 q:590 itex:0 ptex:18968 mv:880 misc:1217 fcode:1 bcode:1 mc-var:11507 var:166392 icount:0 skipcount:128 hbits:55;
in:63 out:63 type:2 q:552 itex:0 ptex:854 mv:126 misc:493 fcode:1 bcode:1 mc-var:1554 var:166392 icount:0 skipcount:212 hbits:55;
in:64 out:64 type:2 q:601 itex:684 ptex:18558 mv:847 misc:1232 fcode:1 bcode:1 mc-var:13867 var:169133 icount:3 skipcount:125 hbits:55;
in:65 out:65 type:2 q:558 itex:0 ptex:921 mv:164 misc:548 fcode:1 bcode:1 mc-var:1693 var:169133 icount:0 skipcount:201 hbits:55;
in:66 out:66 type:2 q:593 itex:276 ptex:19347 mv:860 misc:1222 fcode:1 bcode:1 mc-var:12184 var:173905 icount:1 skipcount:123 hbits:55;
in:67 out:67 type:2 q:559 itex:0 ptex:622 mv:135 misc:476 fcode:1 bcode:1 mc-var:1652 var:173905 icount:0 skipcount:214 hbits:55;
in:68 out:68 type:2 q:608 itex:1434 ptex:16626 mv:873 misc:1212 fcode:1 bcode:1 mc-var:15339 var:172130 icount:5 skipcount:124 hbits:55;
in:69 out:69 type:2 q:553 itex:0 ptex:1067 mv:157 misc:553 fcode:1 bcode:1 mc-var:1749 var:172130 icount:0 skipcount:204 hbits:55;
in:70 out:70 type:2 q:599 itex:1796 ptex:16666 mv:837 misc:1222 fcode:1 bcode:1 mc-var:14454 var:166433 icount:6 skipcount:121 hbits:55;
in:71 out:71 type:2 q:551 itex:0 ptex:966 mv:144 misc:523 fcode:1 bcode:1 mc-var:1720 var:166433 icount:0 skipcount:204 hbits:55;
in:72 out:72 type:2 q:572 itex:987 ptex:19795 mv:933 misc:1286 fcode:1 bcode:1 mc-var:10511 var:164705 icount:4 skipcount:120 hbits:55;
in:73 out:73 type:2 q:555 itex:0 ptex:363 mv:71 misc:367 fcode:1 bcode:1 mc-var:1575 var:164705 icount:0 skipcount:233 hbits:55;
in:74 out:74 type:2 q:577 itex:442 ptex:20427 mv:867 misc:1257 fcode:1 bcode:1 mc-var:10862 var:161291 icount:3 skipcount:124 hbits:55;
in:75 out:75 type:2 q:559 itex:0 ptex:206 mv:90 misc:360 fcode:1 bcode:1 mc-var:1611 var:161291 icount:0 skipcount:232 hbits:56;
in:76 out:76 type:2 q:571 itex:525 ptex:19930 mv:877 misc:1293 fcode:1 bcode:1 mc-var:10261 var:160599 icount:4 skipcount:121 hbits:55;
in:77 out:77 type:2 q:556 itex:0 ptex:206 mv:76 misc:359 fcode:1 bcode:1 mc-var:1619 var:160599 icount:0 skipcount:234 hbits:55;
in:78 out:78 type:2 q:576 itex:767 ptex:19336 mv:906 misc:1320 fcode:1 bcode:1 mc-var:11438 var:163827 icount:3 skipcount:118 hbits:55;
in:79 out:79 type:2 q:553 itex:0 ptex:616 mv:132 misc:461 fcode:1 bcode:1 mc-var:1641 var:163827 icount:0 skipcount:214 hbits:55;
in:80 out:80 type:2 q:581 itex:1537 ptex:17806 mv:860 misc:1318 fcode:1 bcode:1 mc-var:10914 var:166164 icount:4 skipcount:113 hbits:55;
in:81 out:81 type:2 q:559 itex:0 ptex:587 mv:137 misc:453 fcode:1 bcode:1 mc-var:1695 var:166164 icount:0 skipcount:215 hbits:55;
in:82 out:82 type:2 q:582 itex:1068 ptex:18576 mv:858 misc:1291 fcode:1 bcode:1 mc-var:10513 var:167404 icount:4 skipcount:116 hbits:55;
in:83 out:83 type:2 q:564 itex:0 ptex:343 mv:84 misc:406 fcode:1 bcode:1 mc-var:1702 var:167404 icount:0 skipcount:227 hbits:55;
in:84 out:84 type:2 q:563 itex:0 ptex:19815 mv:879 misc:1299 fcode:1 bcode:1 mc-var:8446 var:169144 icount:0 skipcount:120 hbits:55;
in:85 out:85 type:2 q:561 itex:0 ptex:149 mv:90 misc:346 fcode:1 bcode:1 mc-var:1641 var:169144 icount:0 skipcount:235 hbits:55;
